"","date_correct_format","price","quantity"
"V1","2013-12-19","53.942","157"
"V2","2013-12-20","32.402","266"
"V3","2013-12-21","28.018","267"
"V4","2013-12-22","23.939","259"
"V5","2013-12-23","19.733","340"
"V6","2013-12-24","19.752","322"
"V7","2013-12-25","20.153","238"
"V8","2013-12-26","19.492","375"
"V9","2013-12-27","17.93","371"
"V10","2013-12-28","17.052","354"
"V11","2013-12-29","14.555","404"
"V12","2013-12-30","13.188","520"
"V13","2013-12-31","12.233","426"
"V14","2014-01-01","11.905","416"
"V15","2014-01-02","11.506","488"
"V16","2014-01-03","11.202","335"
"V17","2014-01-04","11.494","535"
"V18","2014-01-05","11.052","542"
"V19","2014-01-06","10.641","510"
"V20","2014-01-07","10.37","473"
"V21","2014-01-08","10.077","461"
"V22","2014-01-09","10.078","476"
"V23","2014-01-10","10.121","548"
"V24","2014-01-11","10.655","467"
"V25","2014-01-12","9.803","522"
"V26","2014-01-13","8.769","593"
"V27","2014-01-14","8.701","536"
"V28","2014-01-15","8.764","454"
"V29","2014-01-16","8.444","502"
"V30","2014-01-17","8.141","517"
"V31","2014-01-18","8.217","722"
"V32","2014-01-19","8.232","693"
"V33","2014-01-20","8.092","579"
"V34","2014-01-21","7.55","559"
"V35","2014-01-22","7.641","569"
"V36","2014-01-23","7.403","542"
"V37","2014-01-24","7.34","659"
"V38","2014-01-25","7.686","690"
"V39","2014-01-26","7.54","711"
"V40","2014-01-27","7.17","623"
"V41","2014-01-28","6.945","625"
"V42","2014-01-29","6.738","661"
"V43","2014-01-30","6.559","558"
"V44","2014-01-31","6.183","731"
"V45","2014-02-01","6.08","884"
"V46","2014-02-02","6.303","764"
"V47","2014-02-03","5.976","651"
"V48","2014-02-04","5.842","597"
"V49","2014-02-05","5.624","578"
"V50","2014-02-06","5.465","767"
"V51","2014-02-07","5.889","698"
"V52","2014-02-08","5.719","806"
"V53","2014-02-09","5.534","818"
"V54","2014-02-10","5.326","710"
"V55","2014-02-11","5.193","658"
"V56","2014-02-12","4.979","619"
"V57","2014-02-13","4.786","663"
"V58","2014-02-14","4.874","761"
"V59","2014-02-15","4.873","838"
"V60","2014-02-16","4.915","737"
"V61","2014-02-17","4.721","622"
"V62","2014-02-18","4.469","585"
"V63","2014-02-19","4.246","583"
"V64","2014-02-20","4.246","604"
"V65","2014-02-21","3.809","785"
"V66","2014-02-22","3.59","1005"
"V67","2014-02-23","4.054","907"
"V68","2014-02-24","4.215","739"
"V69","2014-02-25","4.485","678"
"V70","2014-02-26","4.465","615"
"V71","2014-02-27","4.435","724"
"V72","2014-02-28","4.465","887"
"V73","2014-03-01","4.427","913"
"V74","2014-03-02","4.475","925"
"V75","2014-03-03","4.467","790"
"V76","2014-03-04","4.224","682"
"V77","2014-03-05","4.203","684"
"V78","2014-03-06","4.456","720"
